acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,rnncell,reverse_grad_weight,dropout_rate,diff_weight,sim_weight,recon_weight,lr,gamma,hidden_size
57.99,52.4,53.16,52.21,0.513,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-01-46-13,lstm,0.6,0.3,0.5,0.3,0.4,1e-05,0.5,
..,,,,,,,,,,,,,,,,,,
57.89,52.02,52.97,51.65,0.5291,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-12-02-18-44,lstm,0.8,0.1,0.5,0.3,0.4,1e-05,0.5,
57.35,51.89,52.2,51.91,0.528,MIntRec2,misa,bert-base-uncased,3.0,misa_MIntRec2_multi-class_seed-3_2024-03-12-02-41-46,lstm,0.8,0.1,0.5,0.3,0.4,1e-05,0.5,
57.75,52.55,53.18,52.26,0.5209,MIntRec2,misa,bert-base-uncased,4.0,misa_MIntRec2_multi-class_seed-4_2024-03-12-03-03-24,lstm,0.8,0.1,0.5,0.3,0.4,1e-05,0.5,
57.85,51.52,52.03,51.79,0.5131,MIntRec2,misa,bert-base-uncased,5.0,misa_MIntRec2_multi-class_seed-5_2024-03-12-03-24-26,lstm,0.8,0.1,0.5,0.3,0.4,1e-05,0.5,
58.53,52.48,54.06,52.09,0.5311,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-12-04-29-51,lstm,0.1,0.4,0.2,0.4,0.4,8e-06,0.5,
57.89,52.05,52.51,51.85,0.5226,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-12-04-47-51,lstm,0.1,0.4,0.2,0.4,0.4,1e-05,0.5,
58.53,51.99,53.88,51.56,0.5191,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-12-05-12-42,lstm,0.1,0.4,0.2,0.4,0.6,8e-06,0.5,
58.63,52.05,53.64,51.85,0.5198,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-12-05-32-02,lstm,0.1,0.4,0.2,0.4,0.6,1e-05,0.5,
58.04,52.15,53.44,51.54,0.5184,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-12-05-47-57,lstm,0.1,0.4,0.2,0.3,0.4,8e-06,0.5,
