acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,beta_shift,dropout_prob,warmup_proportion,lr,aligned_method,weight_decay
57.21,52.11,52.86,52.28,0.5038,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-21-47-01,0.01,0.5,0.1,2e-05,ctc,0.03
57.16,52.14,52.75,52.53,0.5122,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-22-01-40,0.01,0.5,0.1,2e-05,conv1d,0.03
56.27,50.78,51.83,50.88,0.5125,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-22-19-32,0.01,0.5,0.1,3e-05,ctc,0.03
55.04,50.54,51.23,50.88,0.5149,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-22-33-39,0.01,0.5,0.1,2.9999999999999997e-05,conv1d,0.03
57.5,53.45,53.77,54.34,0.511,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-23-00-22,0.01,0.5,0.3,2e-05,ctc,0.03
55.98,50.21,51.02,50.78,0.5096,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-23-19-47,0.01,0.5,0.3,2e-05,conv1d,0.03
57.85,51.39,53.16,51.98,0.493,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-23-40-26,0.01,0.5,0.3,3e-05,ctc,0.03
57.3,52.32,53.16,52.76,0.5048,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-23-53-54,0.01,0.5,0.3,2.9999999999999997e-05,conv1d,0.03
58.78,53.92,55.39,53.9,0.5228,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-16-00-11-05,0.01,0.3,0.1,2e-05,ctc,0.03
56.86,51.74,52.54,51.57,0.5144,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-16-00-26-45,0.01,0.3,0.1,2e-05,conv1d,0.03
56.71,51.43,51.61,51.83,0.5183,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-16-00-42-53,0.01,0.3,0.1,3e-05,ctc,0.03
57.01,51.38,53.77,51.1,0.5174,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-16-00-58-05,0.01,0.3,0.1,2.9999999999999997e-05,conv1d,0.03
57.16,52.52,53.35,52.58,0.4981,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-16-01-09-31,0.01,0.3,0.3,2e-05,ctc,0.03
56.81,51.64,51.39,52.72,0.5106,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-16-01-28-00,0.01,0.3,0.3,2e-05,conv1d,0.03
56.47,50.55,51.58,51.19,0.5024,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-16-01-46-50,0.01,0.3,0.3,3e-05,ctc,0.03
...,,,,,,,,,,,,,,,
57.35,52.08,52.84,52.04,0.5183,MIntRec2,mag_bert,bert-base-uncased,3.0,mag_bert_MIntRec2_multi-class_seed-3_2024-03-16-02-22-41,0.01,0.5,0.1,2e-05,ctc,0.03
56.71,52.21,53.09,52.42,0.5032,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-08-16-22,0.01,0.5,0.1,2e-05,ctc,0.03
....,,,,,,,,,,,,,,,
56.71,52.21,53.09,52.42,0.5032,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-08-47-30,0.01,0.5,0.1,2e-05,ctc,0.03
57.65,52.19,53.16,52.82,0.5044,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-09-03-36,0.01,0.5,0.1,2e-05,ctc,0.01
57.35,52.05,52.88,52.56,0.5093,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-09-17-13,0.01,0.5,0.1,2e-05,ctc,0.1
55.88,51.24,51.51,51.74,0.5042,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-09-30-23,0.01,0.5,0.1,2e-05,conv1d,0.03
57.3,52.66,53.84,52.4,0.5089,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-09-49-07,0.01,0.5,0.1,2e-05,conv1d,0.01
