acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,dst_feature_dims,nheads,n_levels,attn_dropout,attn_dropout_v,attn_dropout_a,relu_dropout,embed_dropout,res_dropout,output_dropout,text_dropout,conv1d_kernel_size_l,conv1d_kernel_size_v,conv1d_kernel_size_a,lr
60.01,57.64,56.83,49.67,51.04,50.2,51.24,57.23,44.48,94.5,48.94,55.56,0.5732,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,3.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
57.99,57.29,57.62,51.49,51.88,52.54,51.52,57.66,44.65,94.43,48.82,55.61,0.5741,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,3.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
59.37,58.1,58.49,52.54,54.72,52.72,51.63,57.77,44.62,94.56,48.62,55.69,0.5814,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,3.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
59.81,58.23,58.74,52.11,57.21,52.18,51.19,57.32,44.28,94.69,49.26,55.77,0.5741,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,3.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
58.14,55.74,54.91,47.74,49.15,48.18,51.09,57.2,44.22,94.69,49.14,55.75,0.5696,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,3.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
58.34,57.93,58.58,52.06,53.96,51.96,51.39,57.53,44.53,94.5,48.88,55.59,0.5859,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,3.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
59.32,58.15,58.95,52.26,55.34,52.27,51.32,57.5,44.45,94.5,48.88,55.61,0.5949,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,3.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
59.08,57.97,58.87,52.09,56.65,51.21,51.33,57.66,44.42,94.37,49.2,55.66,0.5823,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,4.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
59.03,57.35,58.51,50.47,57.3,49.97,51.28,57.56,44.39,94.43,49.01,55.67,0.5886,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,4.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
57.7,57.25,57.22,52.59,53.76,52.07,51.17,57.5,44.34,94.69,49.33,55.67,0.585,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,4.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
