acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion
58.63,57.75,58.37,51.8,55.71,50.88,50.32,56.55,43.66,94.95,49.9,55.83,,MIntRec2,MIntRec2-OOD,text,maxlogit,bert-base-uncased,0.0,text_maxlogit_MIntRec2_multi-class_0_2024-05-01-01-52-28,2.9999999999999997e-05,0.1,0.01
58.09,57.67,58.86,52.92,55.58,52.4,50.59,56.72,44.17,94.82,49.52,55.72,,MIntRec2,MIntRec2-OOD,text,maxlogit,bert-base-uncased,1.0,text_maxlogit_MIntRec2_multi-class_0_2024-05-01-01-52-28,3e-05,0.1,0.01
56.47,56.5,56.9,51.94,52.59,51.86,50.69,56.92,44.08,94.95,49.26,55.84,,MIntRec2,MIntRec2-OOD,text,maxlogit,bert-base-uncased,2.0,text_maxlogit_MIntRec2_multi-class_0_2024-05-01-01-52-28,2.9999999999999997e-05,0.1,0.01
58.68,57.95,58.24,53.23,55.95,52.22,50.54,56.76,44.15,94.5,49.52,55.63,,MIntRec2,MIntRec2-OOD,text,maxlogit,bert-base-uncased,3.0,text_maxlogit_MIntRec2_multi-class_0_2024-05-01-01-52-28,3e-05,0.1,0.01
57.11,56.58,58.13,51.28,55.47,50.43,50.1,56.38,43.7,95.07,50.1,56.0,,MIntRec2,MIntRec2-OOD,text,maxlogit,bert-base-uncased,4.0,text_maxlogit_MIntRec2_multi-class_0_2024-05-01-01-52-28,2.9999999999999997e-05,0.1,0.01
58.63,57.75,58.37,51.8,55.71,50.88,50.1,56.46,43.54,95.14,49.78,55.95,,MIntRec2,MIntRec2-OOD,text,msp,bert-base-uncased,0.0,text_msp_MIntRec2_multi-class_0_2024-05-01-01-53-40,3e-05,0.1,0.01
58.09,57.67,58.86,52.92,55.58,52.4,50.42,56.52,44.09,94.69,49.58,55.72,,MIntRec2,MIntRec2-OOD,text,msp,bert-base-uncased,1.0,text_msp_MIntRec2_multi-class_0_2024-05-01-01-53-40,2.9999999999999997e-05,0.1,0.01
56.47,56.5,56.9,51.94,52.59,51.86,50.54,56.94,43.94,95.07,49.2,55.9,,MIntRec2,MIntRec2-OOD,text,msp,bert-base-uncased,2.0,text_msp_MIntRec2_multi-class_0_2024-05-01-01-53-40,3e-05,0.1,0.01
58.68,57.95,58.24,53.23,55.95,52.22,50.42,56.63,43.97,94.69,49.65,55.73,,MIntRec2,MIntRec2-OOD,text,msp,bert-base-uncased,3.0,text_msp_MIntRec2_multi-class_0_2024-05-01-01-53-40,2.9999999999999997e-05,0.1,0.01
57.11,56.58,58.13,51.28,55.47,50.43,50.12,56.48,43.67,94.95,50.03,55.91,,MIntRec2,MIntRec2-OOD,text,msp,bert-base-uncased,4.0,text_msp_MIntRec2_multi-class_0_2024-05-01-01-53-40,3e-05,0.1,0.01
