acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_f1,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr_main,weight_decay_main,lr_bert,weight_decay_bert,lr_mmilb,weight_decay_mmilb,alpha,dropout_a,dropout_v,dropout_prj,n_layer,cpc_layers,d_vh,d_ah,d_vout,d_aout,d_prjh,scale,beta
57.94,57.48,58.07,52.62,54.26,52.48,50.55,56.77,43.94,94.82,49.65,55.7,0.5296,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,1e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.8,57.51,58.3,52.72,54.35,52.65,50.61,56.86,43.98,94.69,49.58,55.74,0.5294,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,1e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.5,56.88,57.67,52.25,55.41,51.31,51.11,57.18,44.39,94.88,49.2,55.75,0.5296,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
56.27,56.03,56.6,52.17,52.62,52.84,51.05,57.07,44.36,94.69,49.14,55.69,0.5271,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,2e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.55,56.93,57.34,51.31,52.59,51.7,50.77,56.9,44.32,94.43,49.52,55.61,0.5301,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,1e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
58.04,57.19,57.44,51.99,54.89,51.23,51.03,57.07,44.44,94.5,48.75,55.58,0.5314,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,1e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.6,56.81,57.35,51.31,53.73,50.77,50.77,56.89,44.01,94.95,49.33,55.82,0.5181,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,1.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.55,56.85,57.44,51.38,53.9,50.74,50.7,56.88,43.95,94.88,49.46,55.78,0.5323,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,1.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,2e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.85,57.03,57.74,52.09,54.11,52.07,50.5,56.81,43.71,95.14,49.65,55.92,0.5289,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,1.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,1e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.21,56.77,57.41,51.36,53.59,50.89,50.59,56.84,43.64,95.33,49.39,56.03,0.5232,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,1.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,1e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
58.58,57.88,57.62,52.14,52.54,52.45,50.91,56.95,44.3,94.56,49.33,55.62,0.5208,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,1.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.3,56.8,57.55,51.18,53.8,50.24,50.82,56.88,44.24,94.63,49.33,55.63,0.5217,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,1.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,2e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
