acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,beta_shift,dropout_prob,warmup_proportion,lr,weight_decay,scale,aligned_method
58.24,56.71,57.14,49.34,54.73,49.08,51.1,57.17,44.19,94.88,49.2,55.78,0.5759,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.1,0.1,2e-05,0.01,,ctc
57.16,56.17,56.34,51.29,51.08,52.73,50.84,56.94,44.05,95.01,49.2,55.87,0.5769,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.3,0.1,2.9999999999999997e-05,0.01,,ctc
58.34,57.12,56.67,50.71,51.55,51.11,50.89,56.95,44.1,94.82,48.94,55.75,0.5913,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.3,0.1,1e-05,0.01,,ctc
57.99,56.92,58.11,51.38,56.22,51.24,50.54,56.67,44.06,94.69,49.52,55.67,0.5877,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.3,0.1,2e-05,0.01,,ctc
57.01,56.2,56.69,50.82,52.56,51.18,50.94,56.98,44.37,94.56,49.01,55.66,0.5886,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.1,0.1,3e-05,0.01,,ctc
58.53,56.92,56.75,49.8,52.93,49.98,50.97,57.0,44.2,94.95,49.26,55.91,0.5787,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.1,0.1,1e-05,0.01,,ctc
57.21,55.9,55.59,49.97,50.6,50.82,50.91,57.0,44.2,94.75,48.94,55.71,0.5787,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.1,0.1,2e-05,0.01,,ctc
57.16,56.29,58.06,51.61,55.49,52.68,50.63,56.84,43.93,94.88,49.07,56.03,0.5805,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.3,0.1,2.9999999999999997e-05,0.01,,ctc
57.7,56.35,56.1,50.43,52.92,50.7,50.92,56.98,44.09,94.82,49.39,55.76,0.5886,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.3,0.1,1e-05,0.01,,ctc
57.11,54.12,52.42,44.96,45.11,46.14,50.48,56.81,43.74,95.14,49.33,55.91,0.5759,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.3,0.1,2e-05,0.01,,ctc
