acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_f1,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr_main,weight_decay_main,lr_bert,weight_decay_bert,lr_mmilb,weight_decay_mmilb,alpha,dropout_a,dropout_v,dropout_prj,n_layer,cpc_layers,d_vh,d_ah,d_vout,d_aout,d_prjh,scale,beta
71.46,71.64,72.4,68.94,69.21,69.44,76.09,75.7,74.17,78.22,30.44,41.15,0.7001,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,16.0,16.0,512.0,20.0,0.5
71.69,71.57,72.49,68.4,69.11,69.22,76.81,76.29,75.01,71.33,31.33,37.95,0.7034,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,16.0,8.0,512.0,20.0,0.5
71.01,70.19,70.92,65.42,68.57,64.86,76.29,74.92,75.18,72.44,30.0,38.51,0.6875,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,8.0,16.0,512.0,20.0,0.5
71.24,70.86,71.85,66.19,67.93,66.3,77.38,76.43,76.04,76.89,29.33,40.71,0.6931,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,8.0,8.0,512.0,20.0,0.5
70.11,69.82,71.32,66.25,67.82,67.24,77.02,76.11,75.05,74.22,29.56,39.28,0.6973,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,32.0,16.0,16.0,512.0,20.0,0.5
73.48,73.01,73.11,70.6,70.45,71.4,76.55,75.59,75.44,73.56,31.11,39.06,0.6966,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,32.0,16.0,8.0,512.0,20.0,0.5
72.36,72.07,72.42,68.36,68.53,69.09,75.68,75.01,74.73,70.0,30.22,37.29,0.6912,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,32.0,8.0,16.0,512.0,20.0,0.5
73.48,73.46,73.75,71.22,72.08,70.84,75.71,76.23,73.69,79.11,31.33,41.82,0.6966,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,32.0,8.0,8.0,512.0,20.0,0.5
70.34,70.99,72.88,67.63,68.85,68.14,76.33,76.64,75.48,74.22,30.67,39.39,0.6897,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,16.0,16.0,512.0,20.0,0.5
70.56,71.13,72.38,67.01,67.91,67.07,78.32,76.85,77.65,74.67,28.22,39.61,0.7064,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,16.0,8.0,512.0,20.0,0.5
