acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,reverse_grad_weight,hidden_size,dropout_rate,diff_weight,sim_weight,recon_weight,lr
59.27,58.12,58.93,52.51,57.57,51.85,52.33,58.48,45.5,94.05,48.43,55.33,0.604,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.6,0.1,0.3,1e-05
58.39,57.71,57.91,52.74,55.0,51.99,52.41,58.37,45.39,94.31,48.11,55.48,0.5958,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.6,0.1,0.3,2e-05
57.75,57.48,57.55,52.98,53.66,52.73,51.98,57.86,45.07,94.18,48.43,55.43,0.5895,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.6,0.1,0.3,2.9999999999999997e-05
57.99,57.16,57.98,52.28,56.73,51.69,52.68,58.71,45.65,94.05,47.92,55.33,0.5986,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.6,0.7,0.3,1e-05
57.8,57.65,57.79,54.17,54.69,54.05,52.59,58.5,45.69,94.05,48.05,55.33,0.5931,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.6,0.7,0.3,2e-05
58.53,58.32,58.76,53.51,54.51,53.43,51.91,57.9,45.16,93.99,48.62,55.31,0.5714,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.6,0.7,0.3,3e-05
58.14,57.44,57.89,53.27,56.49,52.57,52.52,58.49,45.59,93.99,48.05,55.29,0.5995,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.5,0.1,0.3,1e-05
57.35,57.13,57.57,52.2,53.64,51.51,52.0,58.12,45.13,94.31,48.5,55.45,0.5814,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.5,0.1,0.3,2e-05
58.19,58.06,58.4,53.97,55.41,53.27,51.93,57.86,45.14,94.11,48.56,55.37,0.5886,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.5,0.1,0.3,2.9999999999999997e-05
58.83,57.55,59.32,51.95,60.43,50.93,52.65,58.77,45.68,93.86,47.98,55.22,0.5986,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.5,0.7,0.3,1e-05
58.73,58.27,58.53,53.64,55.03,53.39,52.44,58.52,45.5,93.99,47.86,55.27,0.5931,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.5,0.7,0.3,2e-05
57.85,57.66,57.81,53.05,53.64,52.87,51.87,57.86,45.19,93.92,48.75,55.26,0.5805,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.5,0.7,0.3,3e-05
59.27,58.08,59.28,52.77,59.26,51.98,52.54,58.6,45.48,94.24,47.86,55.42,0.5958,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.1,0.6,0.1,0.3,1e-05
58.93,58.16,58.4,53.16,55.12,52.81,52.2,58.17,45.25,94.18,48.18,55.4,0.5995,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.1,0.6,0.1,0.3,2e-05
57.21,56.79,56.87,52.19,53.46,51.71,52.2,58.09,45.16,94.43,48.3,55.59,0.6004,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.1,0.6,0.1,0.3,2.9999999999999997e-05
58.78,57.7,58.43,52.17,56.47,51.37,52.74,58.82,45.43,94.18,47.66,55.4,0.5967,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.1,0.6,0.7,0.3,1e-05
57.35,57.1,57.2,52.72,53.21,52.74,52.54,58.51,45.52,94.18,48.05,55.38,0.5967,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.1,0.6,0.7,0.3,2e-05
57.16,56.87,57.02,52.16,53.29,51.74,52.27,58.08,45.41,93.99,48.18,55.29,0.5814,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.1,0.6,0.7,0.3,3e-05
58.68,57.56,58.67,52.09,57.86,51.41,52.49,58.64,45.54,93.99,48.18,55.29,0.6004,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.1,0.5,0.1,0.3,1e-05
58.39,57.92,58.05,53.72,54.78,53.44,52.65,58.51,45.55,93.99,47.73,55.29,0.5995,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.1,0.5,0.1,0.3,2e-05
57.3,56.95,57.04,52.33,53.52,51.79,52.25,58.11,45.31,94.37,48.24,55.51,0.5832,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.1,0.5,0.1,0.3,2.9999999999999997e-05
58.73,57.51,58.42,51.41,56.39,50.88,52.86,58.96,45.8,94.05,47.54,55.33,0.5967,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.1,0.5,0.7,0.3,1e-05
58.09,57.39,57.67,52.94,54.89,52.63,52.42,58.44,45.4,94.18,48.05,55.4,0.6058,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.1,0.5,0.7,0.3,2e-05
56.62,55.53,55.62,50.47,52.4,50.38,52.47,58.46,45.4,94.37,47.86,55.5,0.5787,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.1,0.5,0.7,0.3,3e-05
57.06,55.19,54.89,47.73,49.18,48.81,51.43,57.75,44.88,93.99,48.88,55.29,0.5931,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.8,256.0,0.3,0.6,0.1,0.3,1e-05
58.63,57.92,57.79,53.25,54.19,53.41,51.17,57.39,44.46,94.37,49.07,55.51,0.5886,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.8,256.0,0.3,0.6,0.1,0.3,2e-05
58.63,57.31,58.66,51.05,57.33,50.82,50.98,57.24,44.43,94.37,49.52,55.55,0.575,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.8,256.0,0.3,0.6,0.1,0.3,2.9999999999999997e-05
57.01,55.16,54.6,47.58,48.31,48.88,51.4,57.77,44.64,94.31,48.75,55.51,0.5886,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.8,256.0,0.3,0.6,0.7,0.3,1e-05
58.98,58.14,58.43,52.12,55.41,51.95,51.0,57.3,44.41,94.43,49.26,55.53,0.5859,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.8,256.0,0.3,0.6,0.7,0.3,2e-05
58.58,58.29,58.27,53.49,53.89,53.46,51.18,57.3,44.65,94.18,49.01,55.44,0.585,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.8,256.0,0.3,0.6,0.7,0.3,3e-05
57.89,56.49,56.23,48.79,50.34,49.24,51.66,57.87,45.04,93.79,49.07,55.19,0.5814,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.8,256.0,0.3,0.5,0.1,0.3,1e-05
58.83,58.03,58.02,52.95,55.27,52.61,51.16,57.52,44.43,94.5,49.01,55.58,0.5787,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.8,256.0,0.3,0.5,0.1,0.3,2e-05
