acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,mlp_hidden_size,mlp_dropout,alpha,scale,eval_acc,sampler
58.04,56.6,58.45,51.09,57.4,51.35,51.41,57.5,44.67,94.37,48.88,55.53,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5805,
56.03,55.5,56.68,49.98,52.82,49.34,50.97,57.11,44.38,94.31,49.33,55.48,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,6.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5533,
55.83,54.41,57.37,50.04,53.28,51.83,51.68,57.65,44.94,94.31,48.75,55.5,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,7.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5714,
57.45,55.92,58.51,50.33,56.73,51.2,50.46,56.83,44.03,94.63,50.54,55.8,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,7.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5759,
56.27,54.67,56.95,47.52,53.71,47.71,51.28,57.6,44.53,94.37,48.75,55.56,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,8.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5660000000000001,
56.67,55.66,57.27,51.39,54.99,51.97,51.45,57.66,44.85,94.31,48.94,55.52,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,8.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5615,
57.94,56.16,58.28,49.82,55.29,49.99,51.5,57.46,44.87,94.43,48.69,55.72,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,4.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5814,
56.67,55.28,57.86,49.62,51.91,52.22,51.02,57.04,44.51,94.69,49.07,55.74,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,4.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5714,
58.58,57.33,60.2,52.32,58.0,52.14,51.31,57.42,44.79,94.37,49.33,55.51,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5714,
57.5,56.95,57.82,52.06,53.3,52.55,51.5,57.47,44.85,94.31,48.5,55.47,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5705,
