acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,mlp_hidden_size,mlp_dropout,alpha,scale,eval_acc,sampler
71.69,71.59,72.21,69.13,70.07,68.78,82.28,80.07,82.39,59.78,24.22,32.09,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,4.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.7303,
71.46,71.12,71.15,67.35,68.3,66.93,79.73,77.84,78.23,74.22,27.56,39.39,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0,0.7483,
71.69,71.36,71.58,68.88,70.0,68.31,80.11,78.34,78.84,71.78,28.0,38.17,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,0.7461,
71.46,71.13,71.23,67.62,68.53,67.31,79.97,78.15,78.28,74.0,25.56,39.28,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0,0.7438,
71.24,70.93,71.08,67.22,68.27,66.84,80.92,78.87,80.28,70.0,25.78,37.29,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.7506,
71.46,71.39,71.8,68.73,69.67,68.38,81.92,79.98,82.35,63.11,25.33,33.86,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0,0.7438,
69.89,69.6,71.51,67.69,71.58,68.11,82.36,80.16,82.09,63.33,24.22,33.86,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,0.7236,
72.58,71.7,71.88,68.03,70.13,67.93,82.61,80.06,83.32,57.56,23.56,30.99,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0,0.7348,
69.89,69.62,70.92,67.64,69.92,68.26,82.38,80.06,82.16,64.22,24.67,34.41,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.7258,
71.91,71.48,71.68,68.1,69.5,67.64,79.71,78.29,79.64,72.22,27.33,38.28,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,6.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0,0.7258,
71.24,70.56,70.27,67.0,67.49,66.97,81.52,79.16,81.66,60.22,26.0,32.43,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,6.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,0.7303,
71.69,71.48,71.65,68.62,69.54,68.21,79.79,77.99,79.03,70.67,27.11,37.62,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,6.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0,0.7303,
71.91,71.11,71.51,68.35,69.65,68.37,80.5,78.51,80.25,68.22,26.89,36.41,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,6.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.7258,
71.01,70.5,70.91,66.4,68.38,66.09,81.12,79.03,80.38,65.33,25.33,34.97,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0,0.7236,
73.03,72.64,72.7,70.09,70.95,69.83,80.12,78.47,78.89,66.89,27.56,35.74,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,0.7348,
72.36,72.0,72.28,69.13,70.7,68.48,80.58,78.56,80.44,67.33,26.0,35.96,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-05-18-04,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0,0.7393,
