acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,alpha,mlp_hidden_size,mlp_dropout,scale,sampler,eval_acc
59.62,58.97,59.48,53.5,55.44,53.37,67.05,77.2,52.42,88.05,37.93,57.26,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,3.0,msz_energy_MIntRec2_multi-class_0_2024-05-18-02-36-53,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
60.06,59.35,59.6,54.86,57.47,54.21,67.45,77.55,52.25,86.88,37.01,56.51,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,4.0,msz_energy_MIntRec2_multi-class_0_2024-05-18-02-36-53,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
59.37,58.37,59.01,53.23,55.06,53.79,67.4,76.27,53.87,85.96,37.34,55.93,MIntRec2,MIntRec2-OOD,msz,maxlogit,bert-base-uncased,0.0,msz_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-39-48,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
60.35,59.05,60.07,53.08,57.83,52.85,69.04,78.42,55.45,82.37,36.01,53.65,MIntRec2,MIntRec2-OOD,msz,maxlogit,bert-base-uncased,1.0,msz_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-39-48,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
58.53,57.8,58.52,52.23,53.91,52.25,69.26,78.89,54.8,85.8,35.34,55.84,MIntRec2,MIntRec2-OOD,msz,maxlogit,bert-base-uncased,2.0,msz_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-39-48,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
59.62,58.97,59.48,53.5,55.44,53.37,66.37,76.79,51.79,88.05,38.51,57.23,MIntRec2,MIntRec2-OOD,msz,maxlogit,bert-base-uncased,3.0,msz_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-39-48,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
60.06,59.35,59.6,54.86,57.47,54.21,66.55,77.0,51.16,87.39,38.43,56.81,MIntRec2,MIntRec2-OOD,msz,maxlogit,bert-base-uncased,4.0,msz_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-39-48,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
59.37,58.37,59.01,53.23,55.06,53.79,64.74,74.74,51.47,85.46,39.77,55.63,MIntRec2,MIntRec2-OOD,msz,msp,bert-base-uncased,0.0,msz_msp_MIntRec2_multi-class_0_2024-05-18-02-42-37,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
60.35,59.05,60.07,53.08,57.83,52.85,65.85,76.49,52.26,83.63,39.26,54.48,MIntRec2,MIntRec2-OOD,msz,msp,bert-base-uncased,1.0,msz_msp_MIntRec2_multi-class_0_2024-05-18-02-42-37,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
58.53,57.8,58.52,52.23,53.91,52.25,66.46,77.3,52.0,86.88,38.43,56.53,MIntRec2,MIntRec2-OOD,msz,msp,bert-base-uncased,2.0,msz_msp_MIntRec2_multi-class_0_2024-05-18-02-42-37,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
