acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,alpha,mlp_hidden_size,mlp_dropout,scale,ablation,sampler
58.29,57.67,58.11,52.47,54.46,52.6,71.27,80.77,57.69,81.95,34.92,53.42,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,3,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-11,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
56.71,55.8,57.66,49.93,51.98,50.82,62.91,73.47,50.08,86.47,41.69,56.26,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,3,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-17,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
59.76,57.89,58.53,51.69,55.24,51.75,72.81,81.45,59.35,81.29,32.83,53.0,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,4,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-11,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
58.58,57.1,56.63,49.71,51.62,49.87,70.69,79.44,56.81,81.12,35.25,52.9,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,0,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-03-12,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
58.34,57.55,57.6,52.64,53.52,53.05,70.7,79.8,55.54,84.8,34.09,55.19,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,0,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-03-35,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
58.48,57.35,57.58,51.77,55.0,51.63,70.68,80.5,55.83,85.05,35.34,55.35,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,4,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-17,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
58.29,57.93,58.26,53.2,53.89,53.6,72.57,81.12,57.72,85.88,32.92,55.9,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,1,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-03-12,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
59.12,57.85,57.34,52.01,53.14,52.04,71.34,79.92,56.61,82.04,33.92,53.48,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,1,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-03-35,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
58.44,57.26,57.72,51.55,54.61,52.59,72.38,80.4,57.84,82.87,33.25,54.0,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,2,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-03-12,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
59.27,58.2,58.81,53.92,56.73,53.33,73.12,80.99,59.11,80.7,33.08,52.58,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,0,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-04-47,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
