acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,ablation,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,dropout,aligned_method,lr,patience,factor
72.81,69.62,71.03,68.97,0.6875,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-05-08-06-05-01,no_fatt,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
22.82,7.42,11.9,10.18,0.0612,MIntRec2,msz,bert-base-uncased,4.0,msz_MIntRec2_multi-class_seed-4_2024-05-08-06-02-58,no_cross,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
70.34,67.61,68.71,67.22,0.6896,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-05-08-06-14-16,no_fatt,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
70.79,68.66,69.1,68.7,0.6854,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-05-08-06-21-31,no_fatt,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
21.3,6.6,12.69,9.4,0.0572,MIntRec2,msz,bert-base-uncased,5.0,msz_MIntRec2_multi-class_seed-5_2024-05-08-06-16-17,no_cross,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
58.39,52.37,52.95,52.54,0.5235,MIntRec2,msz,bert-base-uncased,2.0,msz_MIntRec2_multi-class_seed-2_2024-05-08-06-34-14,no_fatt,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
59.17,53.12,55.22,52.75,0.5211,MIntRec2,msz,bert-base-uncased,3.0,msz_MIntRec2_multi-class_seed-3_2024-05-08-06-59-27,no_fatt,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
59.67,54.04,55.16,54.21,0.5318,MIntRec2,msz,bert-base-uncased,1.0,msz_MIntRec2_multi-class_seed-1_2024-05-08-07-34-11,no_modality,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
58.63,52.07,55.61,52.07,0.5191,MIntRec2,msz,bert-base-uncased,4.0,msz_MIntRec2_multi-class_seed-4_2024-05-08-07-43-52,no_modality,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
..,,,,,,,,,,,,,,,,,,,,,,
16.18,3.63,2.66,6.6,0.047,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-05-08-08-24-03,no_text,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
20.45,6.08,4.68,9.4,0.054000000000000006,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-05-08-08-24-37,no_text,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
70.79,67.89,68.9,67.73,0.6936,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-05-08-08-29-24,no_video,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
69.66,66.67,68.85,66.33,0.6885,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-05-08-08-34-43,no_video,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
71.46,68.87,70.33,68.54,0.6895,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-05-08-08-35-43,no_audio,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
72.58,70.88,71.7,70.99,0.6906,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-05-08-08-39-23,no_audio,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
18.43,5.08,3.84,8.11,0.0582,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-05-08-08-42-11,no_text,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
18.2,4.43,4.07,7.7,0.0558,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-05-08-08-45-22,no_text,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
71.91,68.28,71.89,67.93,0.7040000000000001,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-05-08-08-49-16,no_video,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
70.56,68.31,68.59,68.65,0.6890000000000001,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-05-08-08-52-08,no_video,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
71.46,68.32,68.48,68.68,0.7013,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-05-08-08-54-50,no_audio,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
70.56,68.77,69.11,69.01,0.6874,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-05-08-08-59-49,no_audio,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
17.75,5.2,4.8,8.04,0.0495,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-05-08-09-00-55,no_text,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
72.81,69.03,70.48,69.24,0.6845,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-05-08-09-06-34,no_video,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
73.93,71.1,72.14,70.83,0.6869,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-05-08-09-12-29,no_audio,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
.,,,,,,,,,,,,,,,,,,,,,,
17.22,4.54,3.75,8.42,0.0449,MIntRec2,msz,bert-base-uncased,5.0,msz_MIntRec2_multi-class_seed-5_2024-05-08-09-29-33,no_text,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
18.0,5.09,3.91,8.81,0.0579,MIntRec2,msz,bert-base-uncased,3.0,msz_MIntRec2_multi-class_seed-3_2024-05-08-09-29-28,no_text,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
60.11,53.95,56.23,53.61,0.5232,MIntRec2,msz,bert-base-uncased,5.0,msz_MIntRec2_multi-class_seed-5_2024-05-08-09-50-23,no_video,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
58.88,53.22,54.8,53.21,0.5223,MIntRec2,msz,bert-base-uncased,3.0,msz_MIntRec2_multi-class_seed-3_2024-05-08-09-53-57,no_video,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
60.11,53.69,55.56,53.53,0.5153,MIntRec2,msz,bert-base-uncased,5.0,msz_MIntRec2_multi-class_seed-5_2024-05-08-10-37-26,no_audio,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
58.73,53.04,54.41,53.02,0.5266,MIntRec2,msz,bert-base-uncased,3.0,msz_MIntRec2_multi-class_seed-3_2024-05-08-10-37-05,no_audio,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
..,,,,,,,,,,,,,,,,,,,,,,
16.18,3.63,2.66,6.6,0.047,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-05-08-11-47-01,no_text,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
70.79,67.89,68.9,67.73,0.6936,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-05-08-11-52-11,no_video,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
71.46,68.87,70.33,68.54,0.6895,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-05-08-11-58-12,no_audio,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
17.61,5.15,4.78,8.55,0.0555,MIntRec2,msz,bert-base-uncased,1.0,msz_MIntRec2_multi-class_seed-1_2024-05-08-11-46-26,no_text,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
18.43,5.08,3.84,8.11,0.0582,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-05-08-12-04-21,no_text,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
71.91,68.28,71.89,67.93,0.7040000000000001,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-05-08-12-11-10,no_video,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
71.46,68.32,68.48,68.68,0.7013,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-05-08-12-16-35,no_audio,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
17.75,5.2,4.8,8.04,0.0495,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-05-08-12-22-24,no_text,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
60.01,54.13,55.54,54.21,0.5297,MIntRec2,msz,bert-base-uncased,1.0,msz_MIntRec2_multi-class_seed-1_2024-05-08-12-08-54,no_video,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
72.81,69.03,70.48,69.24,0.6845,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-05-08-12-27-51,no_video,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
73.93,71.1,72.14,70.83,0.6869,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-05-08-12-33-35,no_audio,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
20.45,6.08,4.68,9.4,0.054000000000000006,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-05-08-12-42-02,no_text,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
59.08,53.04,54.15,53.27,0.5251,MIntRec2,msz,bert-base-uncased,1.0,msz_MIntRec2_multi-class_seed-1_2024-05-08-12-32-13,no_audio,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
69.66,66.67,68.85,66.33,0.6885,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-05-08-12-51-51,no_video,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
72.58,70.88,71.7,70.99,0.6906,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-05-08-12-56-19,no_audio,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
18.2,4.43,4.07,7.7,0.0558,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-05-08-13-02-09,no_text,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
70.56,68.31,68.59,68.65,0.6890000000000001,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-05-08-13-08-42,no_video,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
18.1,5.34,4.42,8.88,0.0573,MIntRec2,msz,bert-base-uncased,2.0,msz_MIntRec2_multi-class_seed-2_2024-05-08-12-55-38,no_text,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
70.56,68.77,69.11,69.01,0.6874,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-05-08-13-16-14,no_audio,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
58.63,53.17,54.31,53.08,0.5143,MIntRec2,msz,bert-base-uncased,2.0,msz_MIntRec2_multi-class_seed-2_2024-05-08-13-20-56,no_video,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
58.34,52.45,52.94,52.66,0.5154,MIntRec2,msz,bert-base-uncased,2.0,msz_MIntRec2_multi-class_seed-2_2024-05-08-13-45-45,no_audio,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
18.0,5.09,3.91,8.81,0.0579,MIntRec2,msz,bert-base-uncased,3.0,msz_MIntRec2_multi-class_seed-3_2024-05-08-14-10-32,no_text,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
58.88,53.22,54.8,53.21,0.5223,MIntRec2,msz,bert-base-uncased,3.0,msz_MIntRec2_multi-class_seed-3_2024-05-08-14-35-16,no_video,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
58.73,53.04,54.41,53.02,0.5266,MIntRec2,msz,bert-base-uncased,3.0,msz_MIntRec2_multi-class_seed-3_2024-05-08-15-08-09,no_audio,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
18.0,5.54,4.69,9.16,0.0584,MIntRec2,msz,bert-base-uncased,4.0,msz_MIntRec2_multi-class_seed-4_2024-05-08-15-36-43,no_text,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
58.34,53.16,54.79,53.03,0.537,MIntRec2,msz,bert-base-uncased,4.0,msz_MIntRec2_multi-class_seed-4_2024-05-08-16-01-35,no_video,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
58.39,52.95,54.38,52.97,0.5343,MIntRec2,msz,bert-base-uncased,4.0,msz_MIntRec2_multi-class_seed-4_2024-05-08-16-33-44,no_audio,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
17.22,4.54,3.75,8.42,0.0449,MIntRec2,msz,bert-base-uncased,5.0,msz_MIntRec2_multi-class_seed-5_2024-05-08-17-04-36,no_text,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
60.11,53.95,56.23,53.61,0.5232,MIntRec2,msz,bert-base-uncased,5.0,msz_MIntRec2_multi-class_seed-5_2024-05-08-17-25-31,no_video,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
60.11,53.69,55.56,53.53,0.5153,MIntRec2,msz,bert-base-uncased,5.0,msz_MIntRec2_multi-class_seed-5_2024-05-08-17-57-09,no_audio,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
.,,,,,,,,,,,,,,,,,,,,,,
59.52,53.03,55.43,52.98,0.5127,MIntRec2,msz,bert-base-uncased,4.0,msz_MIntRec2_multi-class_seed-4_2024-05-17-14-17-04,no_fatt,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
59.52,52.36,53.69,52.81,0.5152,MIntRec2,msz,bert-base-uncased,5.0,msz_MIntRec2_multi-class_seed-5_2024-05-17-14-44-10,no_fatt,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
