acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,dst_feature_dims,nheads,n_levels,conv1d_kernel_size_l,conv1d_kernel_size_v,conv1d_kernel_size_a,lr,attn_dropout,attn_dropout_v,attn_dropout_a,relu_dropout,embed_dropout,res_dropout,output_dropout,text_dropout,grad_clip
58.53,52.56,52.91,52.8,0.5038,MIntRec2,mult,bert-base-uncased,4.0,mult_MIntRec2_multi-class_seed-4_2024-03-09-05-46-22,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,,,,,,,,,
56.03,50.61,50.71,51.41,0.5259,MIntRec2,mult,bert-base-uncased,5.0,mult_MIntRec2_multi-class_seed-5_2024-03-09-06-07-50,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,
58.68,53.66,54.9,53.38,0.5293,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-09-06-54-02,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.3,0.2,0.5
59.81,53.99,58.14,53.09,0.5277,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-09-07-33-55,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.3,0.4,0.5
57.55,51.78,53.43,51.25,0.5259,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-09-07-50-41,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.2,0.2,0.5
59.71,53.31,57.71,52.33,0.5275,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-09-08-16-00,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.2,0.4,0.5
59.27,53.58,54.28,53.81,0.5139,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-09-08-37-10,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.0,0.1,0.0,0.3,0.2,0.5
58.68,53.38,54.71,53.09,0.5094,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-09-08-55-17,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.0,0.1,0.0,0.3,0.4,0.5
..,,,,,,,,,,,,,,,,,,,,,,,,,
58.39,52.57,53.26,52.39,0.5453,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-10-06-57-35,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.3,0.4,0.5
58.04,52.07,53.36,51.92,0.5125,MIntRec2,mult,bert-base-uncased,3.0,mult_MIntRec2_multi-class_seed-3_2024-03-10-07-27-15,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.3,0.4,0.5
56.62,50.74,52.49,50.18,0.5332,MIntRec2,mult,bert-base-uncased,4.0,mult_MIntRec2_multi-class_seed-4_2024-03-10-07-45-06,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.3,0.4,0.5
57.45,51.54,52.15,51.37,0.5319,MIntRec2,mult,bert-base-uncased,5.0,mult_MIntRec2_multi-class_seed-5_2024-03-10-08-02-43,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.3,0.4,0.5
...,,,,,,,,,,,,,,,,,,,,,,,,,
57.06,51.41,51.88,51.38,0.5318,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-10-08-56-40,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.2,0.4,0.5
58.53,52.27,53.75,52.01,0.5084,MIntRec2,mult,bert-base-uncased,3.0,mult_MIntRec2_multi-class_seed-3_2024-03-10-09-26-47,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.2,0.4,0.5
58.53,52.59,53.32,52.32,0.5363,MIntRec2,mult,bert-base-uncased,4.0,mult_MIntRec2_multi-class_seed-4_2024-03-10-09-47-44,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.2,0.4,0.5
57.55,52.38,53.07,52.27,0.531,MIntRec2,mult,bert-base-uncased,5.0,mult_MIntRec2_multi-class_seed-5_2024-03-10-10-10-23,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.2,0.4,0.5
..,,,,,,,,,,,,,,,,,,,,,,,,,
57.8,52.38,52.87,52.53,0.5499,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-11-02-05-03,80.0,8.0,8.0,6.0,1.0,2.0,1e-05,0.0,0.1,0.2,0.1,0.2,0.0,0.2,0.2,0.5
57.55,51.78,52.48,52.02,0.5357,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-11-02-46-04,80.0,8.0,8.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.2,0.0,0.2,0.2,0.5
58.24,52.22,52.97,52.13,0.5523,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-11-03-20-56,80.0,8.0,8.0,6.0,1.0,2.0,1e-05,0.0,0.1,0.2,0.1,0.2,0.0,0.2,0.4,0.5
57.5,52.66,53.4,52.59,0.5384,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-11-04-52-38,80.0,8.0,8.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.2,0.0,0.2,0.4,0.5
57.99,52.64,53.24,52.78,0.5492,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-11-05-34-14,80.0,8.0,8.0,6.0,1.0,2.0,1e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.2,0.2,0.5
..,,,,,,,,,,,,,,,,,,,,,,,,,
57.75,51.74,52.46,51.47,0.5438,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-11-06-29-11,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.2,0.2,0.5
58.78,52.35,54.6,51.87,0.5184,MIntRec2,mult,bert-base-uncased,3.0,mult_MIntRec2_multi-class_seed-3_2024-03-11-06-59-48,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.2,0.2,0.5
58.78,52.49,53.8,51.9,0.5322,MIntRec2,mult,bert-base-uncased,4.0,mult_MIntRec2_multi-class_seed-4_2024-03-11-07-21-27,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.2,0.2,0.5
57.85,52.36,53.09,52.23,0.5371,MIntRec2,mult,bert-base-uncased,5.0,mult_MIntRec2_multi-class_seed-5_2024-03-11-07-59-25,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.1,0.1,0.0,0.2,0.2,0.5
...,,,,,,,,,,,,,,,,,,,,,,,,,
57.5,51.73,52.6,51.55,0.5348,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-11-08-44-37,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.0,0.1,0.0,0.3,0.2,0.5
59.67,52.84,53.96,53.0,0.5244,MIntRec2,mult,bert-base-uncased,3.0,mult_MIntRec2_multi-class_seed-3_2024-03-11-09-09-50,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.0,0.1,0.0,0.3,0.2,0.5
58.29,52.24,53.02,51.84,0.5167,MIntRec2,mult,bert-base-uncased,4.0,mult_MIntRec2_multi-class_seed-4_2024-03-11-09-28-19,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.0,0.1,0.0,0.3,0.2,0.5
58.14,52.54,52.89,52.51,0.5267,MIntRec2,mult,bert-base-uncased,5.0,mult_MIntRec2_multi-class_seed-5_2024-03-11-10-07-04,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.0,0.1,0.0,0.3,0.2,0.5
57.5,51.73,52.6,51.55,0.5348,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-11-11-04-53,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.0,0.1,0.0,0.3,0.2,0.5
59.67,52.84,53.96,53.0,0.5244,MIntRec2,mult,bert-base-uncased,3.0,mult_MIntRec2_multi-class_seed-3_2024-03-11-11-31-43,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,0.0,0.1,0.2,0.0,0.1,0.0,0.3,0.2,0.5
