acc,f1,prec,rec,eval_acc,dataset,method,text_backbone,seed,logger_name,eval_f1,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,num_hidden_layers,dropout,aligned_method,lr,hidden_size,hidden_dims,intermediate_size,max_position_embeddings,d_num_attention_heads,d_attention_probs_dropout_prob,d_hidden_dropout_prob,d_num_hidden_layers,d_max_position_embeddings,m_num_attention_heads,m_attention_probs_dropout_prob,m_hidden_dropout_prob,m_num_hidden_layers,m_max_position_embeddings,patience,factor
fusion_feats = torch.cat((t_a_att , t_v_att , t_att), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.24,52.29,53.68,52.08,,MIntRec2,msz,bert-base-uncased,2.0,msz_MIntRec2_multi-class_seed-2_2024-03-08-04-25-16,0.5301,8.0,0.2,0.2,8.0,0.2,conv1d,4e-06,,768.0,768.0,1024.0,,,,,,,,,,,,
58.24,52.69,53.62,52.56,,MIntRec2,msz,bert-base-uncased,3.0,msz_MIntRec2_multi-class_seed-3_2024-03-08-05-01-12,0.5363,8.0,0.2,0.2,8.0,0.2,conv1d,4e-06,,768.0,768.0,1024.0,,,,,,,,,,,,
58.88,53.38,56.52,53.06,,MIntRec2,msz,bert-base-uncased,4.0,msz_MIntRec2_multi-class_seed-4_2024-03-08-05-32-20,0.5115,8.0,0.2,0.2,8.0,0.2,conv1d,4e-06,,768.0,768.0,1024.0,,,,,,,,,,,,
59.22,53.41,54.06,53.58,,MIntRec2,msz,bert-base-uncased,5.0,msz_MIntRec2_multi-class_seed-5_2024-03-08-05-57-41,0.5185,8.0,0.2,0.2,8.0,0.2,conv1d,4e-06,,768.0,768.0,1024.0,,,,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.24,51.99,52.92,52.09,,MIntRec2,msz,bert-base-uncased,2.0,msz_MIntRec2_multi-class_seed-2_2024-03-08-06-41-08,0.5271,8.0,0.2,0.1,8.0,0.2,conv1d,4e-06,,768.0,768.0,1024.0,,,,,,,,,,,,
....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.46,68.43,69.46,68.12,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-12-49-34,0.6802,,,,,0.1,conv1d,5e-06,,768.0,768.0,,8.0,0.1,0.2,10.0,768.0,12.0,0.3,0.1,8.0,1024.0,,
73.26,70.19,71.2,69.89,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-12-59-05,0.6748,,,,,0.1,conv1d,8e-06,,768.0,768.0,,8.0,0.1,0.2,10.0,768.0,12.0,0.3,0.1,8.0,1024.0,,
71.91,69.47,70.29,69.27,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-13-08-14,0.6893,,,,,0.2,conv1d,5e-06,,768.0,768.0,,8.0,0.1,0.2,10.0,768.0,12.0,0.3,0.1,8.0,1024.0,,
72.13,69.31,69.69,69.67,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-13-19-36,0.6819,,,,,0.2,conv1d,8e-06,,768.0,768.0,,8.0,0.1,0.2,10.0,768.0,12.0,0.3,0.1,8.0,1024.0,,
71.24,67.56,68.06,67.59,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-13-26-29,0.7017,,,,,0.1,conv1d,5e-06,,768.0,768.0,,8.0,0.1,0.2,10.0,768.0,12.0,0.3,0.1,8.0,768.0,,
71.01,67.32,68.24,66.91,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-13-34-07,0.6992,,,,,0.1,conv1d,8e-06,,768.0,768.0,,8.0,0.1,0.2,10.0,768.0,12.0,0.3,0.1,8.0,768.0,,
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.91,69.43,70.72,68.9,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-13-43-45,0.6815,,,,,0.2,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,1024.0,,
71.91,68.35,69.27,68.01,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-13-53-54,0.6882,,,,,0.2,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,1024.0,,
72.58,69.84,71.09,69.28,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-14-03-09,0.687,,,,,0.2,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,1024.0,,
71.91,68.85,69.37,68.85,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-14-11-14,0.6797,,,,,0.2,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,1024.0,,
72.13,68.82,70.21,68.32,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-14-20-27,0.6842,,,,,0.1,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,1024.0,,
71.46,67.28,68.74,66.72,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-14-28-11,0.6838,,,,,0.1,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,1024.0,,
72.36,68.94,69.85,68.66,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-14-35-30,0.6864,,,,,0.1,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,1024.0,,
71.69,68.94,69.31,69.22,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-14-44-46,0.6758,,,,,0.1,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,1024.0,,
70.56,67.47,67.69,67.71,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-14-51-44,0.698,,,,,0.2,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,768.0,,
70.34,66.61,67.28,66.5,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-14-59-04,0.6845,,,,,0.2,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,768.0,,
71.24,68.1,69.16,67.99,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-15-08-31,0.6924,,,,,0.2,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,768.0,,
71.24,67.87,68.69,67.5,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-15-15-24,0.7014,,,,,0.2,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,768.0,,
70.56,67.43,68.32,67.13,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-15-25-09,0.7017,,,,,0.1,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,768.0,,
71.01,67.69,68.59,67.44,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-15-35-20,0.6852,,,,,0.1,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,768.0,,
71.69,68.45,69.27,68.17,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-15-44-25,0.7052,,,,,0.1,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,768.0,,
71.91,68.72,70.13,68.27,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-15-51-57,0.6990000000000001,,,,,0.1,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,8.0,768.0,,
71.69,69.08,69.97,69.68,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-16-01-41,0.6956,,,,,0.2,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,1024.0,,
70.34,67.15,67.57,67.22,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-16-08-28,0.6956,,,,,0.2,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,1024.0,,
69.44,66.91,67.21,67.17,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-16-16-31,0.7046,,,,,0.2,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,1024.0,,
72.13,69.39,70.16,69.44,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-16-27-13,0.7067,,,,,0.2,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,1024.0,,
71.01,68.12,68.53,68.4,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-16-33-16,0.6852,,,,,0.1,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,1024.0,,
70.11,67.98,68.11,68.27,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-16-39-17,0.695,,,,,0.1,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,1024.0,,
70.11,68.29,68.61,68.62,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-16-48-02,0.7064,,,,,0.1,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,1024.0,,
71.69,69.15,69.95,69.01,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-16-57-10,0.6959,,,,,0.1,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,1024.0,,
72.13,68.02,68.76,68.21,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-17-03-37,0.7028,,,,,0.2,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,768.0,,
69.66,66.72,67.59,66.56,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-17-10-02,0.6947,,,,,0.2,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,768.0,,
70.56,67.48,68.04,67.48,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-17-21-09,0.6922,,,,,0.2,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,768.0,,
69.89,66.02,67.21,66.4,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-17-30-41,0.6982,,,,,0.2,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,768.0,,
71.46,68.81,69.08,69.37,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-17-35-53,0.6993,,,,,0.1,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,768.0,,
69.66,66.29,66.95,66.25,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-17-41-55,0.6942,,,,,0.1,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,768.0,,
70.56,67.16,67.6,67.33,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-17-51-51,0.6881,,,,,0.1,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,768.0,,
70.34,66.76,67.81,67.61,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-18-01-50,0.7081,,,,,0.1,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.3,10.0,768.0,,
72.81,70.04,71.17,69.72,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-18-07-04,0.6857,,,,,0.2,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,1024.0,,
72.13,68.53,69.5,68.15,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-18-13-33,0.6926,,,,,0.2,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,1024.0,,
71.46,68.25,69.31,68.44,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-18-22-18,0.6779999999999999,,,,,0.2,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,1024.0,,
72.13,69.49,70.17,69.55,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-18-28-25,0.6829999999999999,,,,,0.2,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,1024.0,,
71.91,68.64,69.79,68.36,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-18-35-38,0.6795,,,,,0.1,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,1024.0,,
71.24,67.28,68.38,66.86,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-18-44-38,0.6828,,,,,0.1,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,1024.0,,
71.46,68.08,69.11,67.99,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-18-52-53,0.6812,,,,,0.1,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,1024.0,,
73.03,69.18,71.24,68.42,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-18-58-57,0.6791,,,,,0.1,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,1024.0,,
71.24,69.21,69.34,69.77,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-19-04-38,0.7014,,,,,0.2,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,768.0,,
71.24,67.77,68.48,67.66,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-19-10-41,0.6828,,,,,0.2,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,768.0,,
70.34,66.73,67.57,66.99,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-19-20-06,0.6967,,,,,0.2,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,768.0,,
71.69,68.7,69.51,68.32,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-19-26-15,0.7015,,,,,0.2,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,768.0,,
70.79,68.24,70.51,68.21,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-19-36-07,0.6994,,,,,0.1,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,768.0,,
70.79,66.78,67.4,66.74,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-19-41-29,0.6847,,,,,0.1,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,768.0,,
71.01,67.34,68.1,67.0,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-19-50-21,0.6993,,,,,0.1,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,768.0,,
70.34,66.73,67.21,66.8,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-19-59-49,0.698,,,,,0.1,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,8.0,768.0,,
70.56,67.67,68.01,68.18,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-20-06-19,0.6957,,,,,0.2,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,1024.0,,
70.34,68.08,68.31,68.24,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-20-12-24,0.6977,,,,,0.2,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,1024.0,,
69.89,66.44,67.19,66.62,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-20-21-55,0.7064,,,,,0.2,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,1024.0,,
72.13,69.19,70.47,68.92,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-20-27-58,0.6973,,,,,0.2,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,1024.0,,
71.46,69.3,69.79,69.6,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-20-34-02,0.6959,,,,,0.1,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,1024.0,,
70.11,67.5,68.03,67.54,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-20-40-02,0.7001,,,,,0.1,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,1024.0,,
70.11,67.88,67.73,68.59,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-20-49-13,0.6999,,,,,0.1,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,1024.0,,
70.79,68.28,68.1,69.04,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-20-58-05,0.6958,,,,,0.1,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,1024.0,,
70.79,68.36,68.95,68.93,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-21-06-04,0.7040000000000001,,,,,0.2,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,768.0,,
69.44,66.49,67.17,66.41,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-21-11-41,0.6938,,,,,0.2,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,768.0,,
71.01,68.22,69.28,67.99,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-21-20-05,0.6903,,,,,0.2,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,768.0,,
68.99,66.06,66.57,67.09,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-21-26-32,0.6929,,,,,0.2,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,768.0,,
71.91,69.13,69.33,69.54,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-21-32-34,0.7095,,,,,0.1,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,768.0,,
69.21,66.13,66.44,66.36,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-21-45-19,0.6938,,,,,0.1,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,768.0,,
70.11,67.09,67.54,67.22,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-21-59-09,0.6875,,,,,0.1,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,768.0,,
69.89,65.76,66.81,66.88,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-22-08-40,0.6976,,,,,0.1,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.1,0.2,10.0,768.0,,
71.91,67.72,70.2,66.67,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-22-13-59,0.6816,,,,,0.2,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,1024.0,,
72.36,68.75,69.87,68.27,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-22-19-48,0.6893,,,,,0.2,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,1024.0,,
72.13,69.53,70.84,68.99,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-22-28-39,0.6881,,,,,0.2,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,1024.0,,
72.13,68.57,69.43,68.27,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-22-36-47,0.6741,,,,,0.2,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,1024.0,,
71.91,68.26,69.95,67.75,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-22-44-53,0.6781,,,,,0.1,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,1024.0,,
71.46,67.85,69.0,67.36,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-22-50-46,0.6838,,,,,0.1,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,1024.0,,
71.69,68.89,70.39,68.32,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-23-00-24,0.6732,,,,,0.1,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,1024.0,,
72.36,68.67,70.68,68.03,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-23-08-09,0.6817,,,,,0.1,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,1024.0,,
70.34,67.83,68.69,67.95,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-23-14-00,0.7015,,,,,0.2,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,768.0,,
70.79,66.95,68.21,66.71,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-23-20-15,0.6815,,,,,0.2,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,768.0,,
70.11,66.94,66.54,67.97,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-23-27-28,0.6965,,,,,0.2,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,768.0,,
71.69,68.25,68.86,68.13,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-23-33-57,0.6984,,,,,0.2,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,768.0,,
71.46,68.26,68.8,68.35,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-23-41-35,0.7041,,,,,0.1,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,768.0,,
71.24,67.06,67.73,67.16,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-23-47-42,0.6838,,,,,0.1,conv1d,3e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,768.0,,
70.34,66.95,67.7,66.75,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-09-23-56-06,0.7013,,,,,0.1,conv1d,5e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,768.0,,
70.11,66.78,67.09,66.94,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-10-00-04-29,0.7003,,,,,0.1,conv1d,8e-06,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,8.0,768.0,,
71.69,69.71,69.75,70.15,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-10-00-11-00,0.6862,,,,,0.2,conv1d,1e-05,,768.0,768.0,,8.0,0.2,0.2,10.0,768.0,12.0,0.2,0.3,10.0,1024.0,,
