acc,f1,prec,rec,eval_acc,dataset,method,text_backbone,seed,logger_name,eval_f1,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,num_hidden_layers,dropout,aligned_method,lr,hidden_size,hidden_dims,intermediate_size,max_position_embeddings,d_num_attention_heads,d_attention_probs_dropout_prob,d_hidden_dropout_prob,d_num_hidden_layers,d_max_position_embeddings,m_num_attention_heads,m_attention_probs_dropout_prob,m_hidden_dropout_prob,m_num_hidden_layers,m_max_position_embeddings,patience,factor
fusion_feats = torch.cat((t_a_att , t_v_att , t_att), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.17,61.46,63.56,62.44,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-05-07-53-53,0.6675,,,,,,,,,,,,,,,,,,,,,,,
query=enc_en,key=condition_seq,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.54,66.06,66.81,66.95,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-05-08-08-22,0.6532,,,,,,,,,,,,,,,,,,,,,,,
66.52,63.4,65.44,63.82,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-05-08-21-59,0.6487,,,,,,,,,,,,,,,,,,,,,,,
67.87,65.65,66.53,67.09,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-05-08-32-58,0.667,,,,,,,,,,,,,,,,,,,,,,,
66.07,63.41,64.7,64.96,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-05-08-44-49,0.6545,,,,,,,,,,,,,,,,,,,,,,,
66.97,65.36,65.42,67.96,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-05-08-58-06,0.6602,,,,,,,,,,,,,,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.52,62.93,63.74,63.39,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-05-11-53-20,0.6673,,,,,,,,,,,,,,,,,,,,,,,
67.19,63.58,64.1,64.92,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-05-12-04-50,0.6653,,,,,,,,,,,,,,,,,,,,,,,
70.11,67.37,69.43,68.52,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-05-12-14-20,0.6703,,,,,,,,,,,,,,,,,,,,,,,
68.99,64.04,63.9,65.87,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-05-12-24-58,0.6859,,,,,,,,,,,,,,,,,,,,,,,
66.52,65.38,68.72,65.64,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-05-12-36-20,0.6728,,,,,,,,,,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.54,64.64,65.77,65.58,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-05-13-13-51,0.6691,,,,,,,,,,,,,,,,,,,,,,,
68.99,65.49,68.88,64.55,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-05-13-23-58,0.6638,,,,,,,,,,,,,,,,,,,,,,,
66.74,62.66,64.26,63.39,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-05-13-33-45,0.6719,,,,,,,,,,,,,,,,,,,,,,,
63.82,61.14,62.12,62.34,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-05-13-43-55,0.6595,,,,,,,,,,,,,,,,,,,,,,,
66.97,65.45,67.25,66.65,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-05-13-56-40,0.6536,,,,,,,,,,,,,,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.64,66.13,65.15,68.92,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-02-32-36,0.6759,,,,,,,,,,,,,,,,,,,,,,,
67.87,65.02,65.34,68.21,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-06-02-41-37,0.6607,,,,,,,,,,,,,,,,,,,,,,,
66.29,63.81,64.57,65.54,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-06-02-50-23,0.682,,,,,,,,,,,,,,,,,,,,,,,
68.99,65.17,67.03,65.75,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-06-03-00-54,0.6867,,,,,,,,,,,,,,,,,,,,,,,
66.52,64.14,65.47,64.46,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-06-03-09-05,0.6738,,,,,,,,,,,,,,,,,,,,,,,
no conv1d..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.21,67.22,68.23,68.29,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-04-04-55,0.6502,,,,,,,,,,,,,,,,,,,,,,,
67.64,65.32,68.27,65.91,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-06-04-14-32,0.6589,,,,,,,,,,,,,,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.09,63.13,65.28,62.47,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-04-27-13,0.6683,,,,,,,,,,,,,,,,,,,,,,,
69.89,68.41,68.92,69.09,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-06-04-36-50,0.6606,,,,,,,,,,,,,,,,,,,,,,,
67.19,65.17,65.04,67.34,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-06-04-46-10,0.6651,,,,,,,,,,,,,,,,,,,,,,,
69.89,66.44,66.31,67.51,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-06-04-55-44,0.6544,,,,,,,,,,,,,,,,,,,,,,,
66.07,61.23,64.04,60.02,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-06-05-03-44,0.648,,,,,,,,,,,,,,,,,,,,,,,
68.54,64.56,65.63,65.65,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-05-29-56,0.6711,,,,,,,,,,,,,,,,,,,,,,,
