acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,dropout,aligned_method,lr,patience,factor
60.3,50.92,51.21,52.79,0.4831,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,4.0,0.2,0.2,768.0,2.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
59.47,52.05,56.76,50.42,0.4908,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,4.0,0.2,0.2,768.0,2.0,1000.0,0.2,ctc,6e-06,8.0,0.1
60.56,51.46,56.21,50.72,0.494,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,4.0,0.2,0.2,768.0,2.0,1024.0,0.2,conv1d,6e-06,8.0,0.1
59.0,49.51,50.09,49.45,0.5055,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,4.0,0.2,0.2,768.0,2.0,1024.0,0.2,ctc,6e-06,8.0,0.1
57.54,49.56,50.3,49.77,0.4823,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,4.0,0.2,0.2,768.0,2.0,768.0,0.2,conv1d,6e-06,8.0,0.1
60.09,50.34,51.28,51.08,0.5003,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,4.0,0.2,0.2,768.0,2.0,768.0,0.2,ctc,6e-06,8.0,0.1
58.58,50.93,50.88,52.42,0.4928,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,4.0,0.2,0.2,768.0,3.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
.,,,,,,,,,,,,,,,,,,,,,
57.64,48.29,49.69,47.8,0.496,MELD-DA,msz,bert-base-uncased,3.0,msz_MELD-DA_multi-class_seed-3,768.0,4.0,0.2,0.2,768.0,2.0,1024.0,0.2,conv1d,6e-06,8.0,0.1
58.58,51.9,53.84,51.61,0.4975,MELD-DA,msz,bert-base-uncased,4.0,msz_MELD-DA_multi-class_seed-4,768.0,4.0,0.2,0.2,768.0,2.0,1024.0,0.2,conv1d,6e-06,8.0,0.1
