acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,dropout,aligned_method,lr,patience,factor
58.84,51.4,54.91,50.51,0.5275,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.3,0.3,768.0,4.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
58.27,50.94,54.53,50.11,0.5243,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.3,0.3,768.0,4.0,1000.0,0.1,conv1d,6e-06,8.0,0.1
..,,,,,,,,,,,,,,,,,,,,,
59.47,50.22,52.62,49.53,0.5037,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,5.0,0.1
59.47,50.22,52.62,49.53,0.5037,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,6.0,0.1
59.47,50.22,52.62,49.53,0.5037,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,7.0,0.1
59.05,50.3,52.18,49.82,0.5132,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,8e-06,5.0,0.1
59.05,50.3,52.18,49.82,0.5132,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,8e-06,6.0,0.1
59.05,50.3,52.18,49.82,0.5132,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,8e-06,7.0,0.1
59.52,50.45,51.93,50.17,0.4947,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,5e-06,5.0,0.1
