F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,neg_weight,margin,supcon_loss_weight,triplet_loss_weight
77.2128,90.1979,79.377,85.63,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-20-34-54,2e-05,0.3,0.3,0.1,0.4,0.3,0.2
77.2128,90.1979,79.377,85.63,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-20-39-07,2e-05,0.3,0.5,0.1,0.4,0.3,0.2
77.3108,90.3233,79.4796,85.8,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-20-43-21,2e-05,0.3,0.7,0.1,0.4,0.3,0.2
77.3307,90.3484,79.5003,85.83,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-20-49-59,2e-05,0.3,0.8,0.1,0.4,0.3,0.2
77.3307,90.3484,79.5003,85.83,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-20-56-06,2e-05,0.3,0.9,0.1,0.4,0.3,0.2
77.3406,90.3609,79.5107,85.85,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-21-00-20,2e-05,0.5,0.9,0.1,0.4,0.3,0.2
77.3807,90.411,79.5524,85.92,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-21-10-10,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
..,,,,,,,,,,,,,,,,,,,
77.3807,90.411,79.5524,85.92,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-21-19-00,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
80.9839,93.1541,83.0123,89.77,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-10-05-21-24-47,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
84.4552,95.1011,86.2295,92.47,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,3.0,100.0,2024-10-05-21-28-35,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
