F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,alpha_loss,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight
73.9157,85.9195,74.5159,80.65,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-03-30-06,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.5,0.5
73.8189,85.2396,74.39,79.81,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-03-35-24,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.5,0.6
75.1126,85.9952,75.6567,80.75,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-03-42-49,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.5,0.7
73.7587,85.2814,74.3349,79.9,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-03-50-56,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.6,0.3
74.8213,85.7828,75.3693,80.52,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-03-56-32,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.6,0.4
75.6082,86.6333,76.1595,81.56,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-04-03-13,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.6,0.5
74.9333,86.1649,75.4949,80.97,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-04-11-06,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.6,0.6
74.5515,85.204,75.0841,79.87,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-04-18-16,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.6,0.7
73.5938,85.1772,74.173,79.77,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-04-24-26,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.7,0.3
74.4201,85.9809,74.9981,80.71,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-04-30-47,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.7,0.4
75.6632,87.1235,76.2362,82.14,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-04-38-24,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.7,0.5
75.0671,86.4374,75.6356,81.3,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-04-44-05,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.7,0.6
74.9768,86.0091,75.5284,80.84,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-04-49-50,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.7,0.7
74.7998,85.2254,75.3211,79.9,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-04-58-08,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.3,0.3
73.7509,84.6471,74.2957,79.22,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-05-05-35,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.3,0.4
74.6959,86.2548,75.2738,81.07,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-05-12-22,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.3,0.5
74.7861,85.3353,75.3135,80.03,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-05-18-54,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.3,0.6
74.596,85.3154,75.1319,80.0,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-05-24-47,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.3,0.7
73.2119,84.6005,73.7814,79.09,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-05-30-53,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.4,0.3
72.5405,85.0613,73.1666,79.38,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-05-35-51,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.4,0.4
74.5289,86.0292,75.1039,80.81,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-05-45-31,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.4,0.5
75.1202,85.76899999999998,75.6526,80.49,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-05-52-15,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.4,0.6
76.7228,86.8032,77.2269,81.82,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-05-59-10,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.4,0.7
74.2669,85.2601,74.8166,79.9,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-06-09-25,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.5,0.3
72.5791,84.2617,73.1632,78.67,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-06-14-42,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.5,0.4
73.589,84.7679,74.148,79.35,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-06-22-02,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.5,0.5
