F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,alpha_loss,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight
79.5342,93.3822,79.8892,89.72,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-11-40-48,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.6,0.4
79.384,93.2262,79.7389,89.51,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-11-57-03,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.6,0.5
78.6248,92.9555,78.9923,89.12,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-12-12-06,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.6,0.6
80.4198,93.6414,80.7588,90.11,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-12-27-23,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.6,0.7
79.3666,93.1387,79.7197,89.4,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-12-44-50,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.7,0.3
78.8493,93.1161,79.2151,89.32,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-12-59-28,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.7,0.4
78.2272,92.8267,78.6016,88.93,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-13-18-29,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.7,0.5
79.7936,93.5038,80.1452,89.91,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-13-33-07,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.7,0.6
80.3595,93.6744,80.7009,90.18,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-13-57-20,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.7,0.7
79.1606,92.9788,79.5149,89.19,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-14-15-55,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.3,0.3
78.7197,92.9607,79.0849,89.14,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-14-37-28,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.3,0.4
78.5976,92.9788,78.9663,89.14,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-14-53-05,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.3,0.5
79.4654,93.3074,79.8203,89.63,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-15-12-40,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.3,0.6
80.0953,93.483,80.4386,89.91,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-15-36-51,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.3,0.7
78.1239,92.8448,78.5014,88.95,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-15-53-02,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.4,0.3
78.3975,92.8144,78.7671,88.93,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-16-14-56,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.4,0.4
79.6214,93.3593,79.9736,89.72,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-16-31-12,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.4,0.5
78.6232,92.9885,78.9916,89.16,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-16-50-33,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.4,0.6
