F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight,neg_weight
77.4125,89.4616,78.0149,84.77,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-23-29-20,2e-05,0.0,0.0,,0.6,2.0,1.0,0.6,0.7,0.0
77.5562,89.3999,78.1484,84.74,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-23-32-26,2e-05,0.0,0.0,,0.7,2.0,1.0,0.6,0.7,0.0
74.2313,86.8829,74.8639,81.79,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-28-23-35-32,2e-05,0.0,0.0,,0.6,2.0,1.0,0.6,0.7,0.0
74.1037,86.8421,74.7406,81.72,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-28-23-38-21,2e-05,0.0,0.0,,0.7,2.0,1.0,0.6,0.7,0.0
..,,,,,,,,,,,,,,,,,,,,,,
79.2586,89.8464,79.788,85.49,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-23-43-45,2e-05,0.0,0.0,,0.7,2.0,1.0,0.6,0.7,0.0
76.2787,89.441,76.9368,84.97,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-28-23-46-43,2e-05,0.0,0.0,,0.7,2.0,1.0,0.6,0.7,0.0
78.1967,90.5378,78.8137,86.4,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-23-57-00,2e-05,0.0,0.0,,0.7,2.0,1.0,0.6,0.7,0.0
69.5754,84.0202,70.2976,78.25,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-00-04-54,2e-05,0.0,0.0,,0.7,2.0,1.0,0.6,0.7,0.0
75.944,89.7418,76.6339,85.13,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-29-00-08-28,2e-05,0.0,0.0,,0.7,2.0,1.0,0.6,0.7,0.0
.,,,,,,,,,,,,,,,,,,,,,,
73.6737,87.195,74.3497,81.92,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-00-14-10,,,,,,,,,,
71.9881,86.1946,72.6985,80.65,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-29-00-17-13,,,,,,,,,,
71.7784,84.47,72.4129,78.86,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-00-20-31,,,,,,,,,,
72.6566,86.5208,73.3498,81.1,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-00-26-52,,,,,,,,,,
78.0323,90.2771,78.6445,86.01,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-29-00-29-58,,,,,,,,,,
75.0674,88.5965,75.7439,83.77,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-00-33-27,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,
76.6733,87.5971,77.2195,82.69,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-02-25-03,,,,,,,,,,
71.2692,85.3895,71.9752,79.94,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-29-02-28-45,,,,,,,,,,
76.6733,87.5971,77.2195,82.69,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-02-32-58,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,
76.6733,87.5971,77.2195,82.69,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-02-39-58,,,,,,,,0.6,,
75.5086,86.9174,76.079,81.82,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-02-43-20,,,,,,,,0.7,,
77.0016,87.7498,77.539,82.92,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-02-47-14,,,,,,,,0.7,,
77.0016,87.7498,77.539,82.92,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-02-51-48,,,,,,,,,,
77.0016,87.7498,77.539,82.92,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-21-19-59,,,,,0.7,,,,,
75.4497,86.9236,76.0234,81.82,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-21-23-21,,,,,0.8,,,,,
71.3519,85.4438,72.0565,80.0,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-29-21-26-56,,,,,0.7,,,,,
71.4938,85.6401,72.2011,80.19,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-29-21-31-07,,,,,0.8,,,,,
74.77,88.1435,75.4386,83.25,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,3.0,100.0,2024-09-29-21-34-25,,,,,0.7,,,,,
74.4661,87.6898,75.1273,82.69,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,3.0,100.0,2024-09-29-21-37-28,,,,,0.8,,,,,
75.8921,86.9606,76.4455,81.92,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,4.0,100.0,2024-09-29-21-40-48,,,,,0.7,,,,,
73.4076,85.3047,74.0025,79.77,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,4.0,100.0,2024-09-29-21-43-21,,,,,0.8,,,,,
74.4796,88.6275,75.187,83.64,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,5.0,100.0,2024-09-29-21-46-32,,,,,0.7,,,,,
74.7292,89.6646,75.476,84.71,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,5.0,100.0,2024-09-29-21-49-45,,,,,0.8,,,,,
.,,,,,,,,,,,,,,,,,,,,,,
76.9833,87.78200000000002,77.5232,82.95,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-23-50-50,,,,,0.8,,,,,
76.9833,87.78200000000002,77.5232,82.95,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-29-23-56-38,,,,,,,,,,
76.9833,87.78200000000002,77.5232,82.95,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-30-00-06-19,,,,,0.8,,,,,
75.5858,86.9976,76.1563,81.92,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-30-00-09-40,,,,,0.9,,,,,
71.541,85.5792,72.2429,80.16,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-30-00-13-12,,,,,0.8,,,,,
